title,project_name,city,locality,bhk,price_formatted,possession_status,amenities,cta_url,area_sqft,bathrooms,furnishing,address,images_url,summary,price
1BHK Apartment in Om makarand heights,Om makarand heights,Mumbai,Chembur,1BHK,₹7.90 L,UNDER_CONSTRUCTION,No amenities listed,/project/om-makarand-heights-ashoknagar-chembur-mumbai-716337,354.0,1.0,UNFURNISHED,"104, yashvant seth jadhav marg, gauri shankar wadi no. 2, savitribai phule nagar, pant nagar, ghatkopar east, mumbai, maharashtra 400075","[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757325712594-cd33c56e7db9cd37.jpg""]",,790000
1BHK Apartment in Om makarand heights,Om makarand heights,Mumbai,Chembur,1BHK,₹8.80 L,UNDER_CONSTRUCTION,No amenities listed,/project/om-makarand-heights-ashoknagar-chembur-mumbai-716337,391.0,1.0,UNFURNISHED,"104, yashvant seth jadhav marg, gauri shankar wadi no. 2, savitribai phule nagar, pant nagar, ghatkopar east, mumbai, maharashtra 400075","[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757325712598-d2ac8b8887119ad8.jpg""]",,880000
2BHK Apartment in Om makarand heights,Om makarand heights,Mumbai,Chembur,2BHK,₹1.20 Cr,UNDER_CONSTRUCTION,No amenities listed,/project/om-makarand-heights-ashoknagar-chembur-mumbai-716337,536.0,2.0,UNFURNISHED,"104, yashvant seth jadhav marg, gauri shankar wadi no. 2, savitribai phule nagar, pant nagar, ghatkopar east, mumbai, maharashtra 400075","[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757325712607-8e031215d719e572.jpg""]",,12000000
2BHK Apartment in Om makarand heights,Om makarand heights,Mumbai,Chembur,2BHK,₹1.40 Cr,UNDER_CONSTRUCTION,No amenities listed,/project/om-makarand-heights-ashoknagar-chembur-mumbai-716337,650.0,2.0,UNFURNISHED,"104, yashvant seth jadhav marg, gauri shankar wadi no. 2, savitribai phule nagar, pant nagar, ghatkopar east, mumbai, maharashtra 400075","[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757325712608-e94b60550c5c2690.jpg""]",,14000000
1BHK Apartment in Sainath Vrindavan,Sainath Vrindavan,Mumbai,Chembur,1BHK,₹1.20 Cr,UNDER_CONSTRUCTION,No amenities listed,/project/luxury-sainath-vrindavan-ashoknagar-chembur-mumbai-216861,457.57,1.0,UNFURNISHED,prataprao gujar rd neelam nagar mulund east mumbai maharashtra 400081,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757400210665-ab087e966ba018ff.jpg""]",,12000000
2BHK Apartment in Sainath Vrindavan,Sainath Vrindavan,Mumbai,Chembur,2BHK,₹1.70 Cr,UNDER_CONSTRUCTION,No amenities listed,/project/luxury-sainath-vrindavan-ashoknagar-chembur-mumbai-216861,652.83,2.0,UNFURNISHED,prataprao gujar rd neelam nagar mulund east mumbai maharashtra 400081,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757400210672-3f6998fafc9e8521.jpg""]",,17000000
2BHK Apartment in Sainath Vrindavan,Sainath Vrindavan,Mumbai,Chembur,2BHK,₹1.90 Cr,UNDER_CONSTRUCTION,No amenities listed,/project/luxury-sainath-vrindavan-ashoknagar-chembur-mumbai-216861,728.5,2.0,UNFURNISHED,prataprao gujar rd neelam nagar mulund east mumbai maharashtra 400081,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757400210678-f61b2d8c4b4a4a50.jpg""]",,19000000
3BHK Apartment in Sainath Vrindavan,Sainath Vrindavan,Mumbai,Chembur,3BHK,₹3.30 Cr,UNDER_CONSTRUCTION,No amenities listed,/project/luxury-sainath-vrindavan-ashoknagar-chembur-mumbai-216861,1240.22,3.0,UNFURNISHED,prataprao gujar rd neelam nagar mulund east mumbai maharashtra 400081,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757400210682-37e9e8c4f43b5b32.jpg""]",,33000000
1BHK Apartment in Avenue 15,Avenue 15,Mumbai,Chembur,1BHK,₹98.90 L,UNDER_CONSTRUCTION,No amenities listed,/project/avenue-15-ashoknagar-chembur-mumbai-140508,416.56,1.0,UNFURNISHED,avenue 15 ramesh barrel supplying company k.t.gupta wadi s.p.murai rd behind sewri road sewri w maharashtra 400015,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757401136186-23bdb16c58a9e122.jpg""]",,9890000
1BHK Apartment in Avenue 15,Avenue 15,Mumbai,Chembur,1BHK,₹1.40 Cr,UNDER_CONSTRUCTION,No amenities listed,/project/avenue-15-ashoknagar-chembur-mumbai-140508,438.63,1.0,UNFURNISHED,avenue 15 ramesh barrel supplying company k.t.gupta wadi s.p.murai rd behind sewri road sewri w maharashtra 400015,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757401136187-7ce77cd129550d77.jpg""]",,14000000
2BHK Apartment in Avenue 15,Avenue 15,Mumbai,Chembur,2BHK,₹1.50 Cr,UNDER_CONSTRUCTION,No amenities listed,/project/avenue-15-ashoknagar-chembur-mumbai-140508,653.15,2.0,UNFURNISHED,avenue 15 ramesh barrel supplying company k.t.gupta wadi s.p.murai rd behind sewri road sewri w maharashtra 400015,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757401136188-b404a27ba98528f4.jpg""]",,15000000
Office Apartment in Swaroop Aditya Avenue,Swaroop Aditya Avenue,Mumbai,Chembur,Office,₹59.75 L,UNDER_CONSTRUCTION,No amenities listed,/project/swaroop-aditya-avenue-ashoknagar-chembur-mumbai-422427,239.0,1.0,UNFURNISHED,"swaroop aditya avenue, sheraton hotel, marol pipeline rd, near itc maratha, kanti nagar, j b nagar, andheri east, mumbai, maharashtra 400099","[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757402417346-ede3eaf6864e2efa.jpg""]",,5975000
Office Apartment in Swaroop Aditya Avenue,Swaroop Aditya Avenue,Mumbai,Chembur,Office,₹77.20 L,UNDER_CONSTRUCTION,No amenities listed,/project/swaroop-aditya-avenue-ashoknagar-chembur-mumbai-422427,309.0,1.0,UNFURNISHED,"swaroop aditya avenue, sheraton hotel, marol pipeline rd, near itc maratha, kanti nagar, j b nagar, andheri east, mumbai, maharashtra 400099","[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757402417347-f5e0ac2f495d60e1.jpg""]",,7720000
